lookup           n   L   s   d           steps  steps/n  NEW/n  SET/n TEST/n GOTO/n NTT/(N·L) nodes/n ok     sec
batched        256   8   5   1       4,426,055   17,289    145 10,821  3,650  2,670     1,680   144.6  ✓    1.94
batched      1,024   9   6   2      10,048,324    9,813     91  6,484  1,816  1,418     1,871    91.5  ✓    2.55
batched      2,048  10   6   2      18,394,494    8,982     73  5,862  1,682  1,363     1,616    72.6  ✓     3.8
batched      4,096  11   7   2      43,338,027   10,581     91  7,098  1,844  1,545     1,764    90.5  ✓    6.97
batched      8,192  12   7   2      82,342,225   10,052     72  6,591  1,837  1,548     1,555    72.1  ✓   12.45
batched     24,576  13   8   3     202,910,523    8,256     61  5,588  1,419  1,186     1,760    61.1  ✓    29.2
batched     49,152  14   8   3     386,689,443    7,867     49  5,206  1,422  1,187     1,568    49.0  ✓   57.84
batched     98,304  15   9   3     933,363,038    9,495     61  6,470  1,609  1,352     1,767    60.9  ✓  132.15
batched    196,608  16   9   3   1,728,603,066    8,792     49  5,824  1,586  1,330     1,542    48.9  ✓  252.39
batched    524,288  17  10   4   4,218,120,720    8,045     46  5,503  1,355  1,138     1,767    46.4  ✓   524.1
direct         256   8   5   1       5,577,539   21,787    115  9,923  7,857  3,889     2,246   114.6  ✓    2.21
direct       1,024   9   6   2      13,055,871   12,750     76  5,719  4,645  2,306     2,527    76.5  ✓    3.09
direct       2,048  10   6   2      27,407,288   13,382     58  6,004  4,893  2,425     2,499    57.6  ✓    5.05
direct       4,096  11   7   2      66,275,162   16,180     76  7,169  5,956  2,977     2,785    75.5  ✓   10.01
direct       8,192  12   7   2     141,608,795   17,286     57  7,660  6,383  3,183     2,763    57.1  ✓   19.44
direct      24,576  13   8   3     339,356,718   13,808     51  6,066  5,135  2,553     3,044    51.1  ✓   45.77
direct      49,152  14   8   3     720,670,749   14,662     39  6,442  5,466  2,712     3,026    39.0  ✓    94.3
direct      98,304  15   9   3   1,690,710,673   17,199     51  7,498  6,444  3,202     3,309    50.9  ✓  227.77
direct     196,608  16   9   3   3,564,719,056   18,131     39  7,905  6,806  3,379     3,295    38.9  ✓  422.76

batched: n = 2,048..524,288 (L ≥ 10): slope d log(steps)/d log(n) = 0.969; steps/n in [7,867, 10,581]; NTT steps per butterfly slot in [1,542, 1,767]
direct: n = 2,048..196,608 (L ≥ 10): slope d log(steps)/d log(n) = 1.036; steps/n in [13,382, 18,131]; NTT steps per butterfly slot in [2,499, 3,309]
